Id,Predicted
0,Ambivalent
1,Ambivalent
2,Clear Non-Reply
3,Ambivalent
4,Ambivalent
5,Clear Non-Reply
6,Ambivalent
7,Clear Reply
8,Ambivalent
9,Clear Non-Reply
10,Clear Reply
11,Clear Reply
12,Clear Reply
13,Ambivalent
14,Clear Reply
15,Clear Reply
16,Ambivalent
17,Clear Reply
18,Clear Non-Reply
19,Clear Non-Reply
20,Ambivalent
21,Clear Reply
22,Clear Reply
23,Clear Non-Reply
24,Clear Non-Reply
25,Clear Non-Reply
26,Clear Non-Reply
27,Clear Non-Reply
28,Ambivalent
29,Clear Non-Reply
30,Ambivalent
31,Clear Reply
32,Clear Reply
33,Clear Reply
34,Clear Non-Reply
35,Clear Non-Reply
36,Ambivalent
37,Clear Reply
38,Ambivalent
39,Ambivalent
40,Clear Non-Reply
41,Ambivalent
42,Ambivalent
43,Ambivalent
44,Clear Reply
45,Clear Reply
46,Ambivalent
47,Clear Reply
48,Clear Non-Reply
49,Clear Non-Reply
50,Ambivalent
51,Ambivalent
52,Clear Non-Reply
53,Clear Non-Reply
54,Clear Non-Reply
55,Clear Reply
56,Ambivalent
57,Ambivalent
58,Clear Non-Reply
59,Clear Reply
60,Clear Reply
61,Clear Reply
62,Ambivalent
63,Ambivalent
64,Clear Non-Reply
65,Ambivalent
66,Clear Reply
67,Clear Reply
68,Clear Non-Reply
69,Ambivalent
70,Ambivalent
71,Clear Non-Reply
72,Clear Non-Reply
73,Ambivalent
74,Clear Reply
75,Clear Non-Reply
76,Clear Non-Reply
77,Clear Reply
78,Ambivalent
79,Clear Reply
80,Ambivalent
81,Ambivalent
82,Clear Reply
83,Ambivalent
84,Ambivalent
85,Clear Reply
86,Ambivalent
87,Clear Reply
88,Clear Non-Reply
89,Clear Reply
90,Clear Reply
91,Ambivalent
92,Clear Non-Reply
93,Clear Non-Reply
94,Clear Non-Reply
95,Ambivalent
96,Clear Non-Reply
97,Clear Non-Reply
98,Clear Non-Reply
99,Clear Non-Reply
100,Ambivalent
101,Ambivalent
102,Ambivalent
103,Clear Reply
104,Clear Non-Reply
105,Clear Non-Reply
106,Clear Non-Reply
107,Clear Reply
108,Clear Reply
109,Ambivalent
110,Clear Non-Reply
111,Clear Reply
112,Clear Reply
113,Clear Reply
114,Ambivalent
115,Ambivalent
116,Ambivalent
117,Clear Non-Reply
118,Clear Non-Reply
119,Clear Reply
120,Clear Reply
121,Clear Reply
122,Clear Non-Reply
123,Clear Non-Reply
124,Ambivalent
125,Clear Reply
126,Clear Non-Reply
127,Clear Reply
128,Clear Non-Reply
129,Clear Reply
130,Clear Non-Reply
131,Clear Reply
132,Clear Non-Reply
133,Clear Reply
134,Clear Non-Reply
135,Clear Non-Reply
136,Clear Non-Reply
137,Clear Reply
138,Clear Non-Reply
139,Clear Reply
140,Clear Non-Reply
141,Ambivalent
142,Clear Non-Reply
143,Clear Reply
