,true,qwen-0.8b_zero-shot_pred,qwen-0.8b_zero-shot_wrong,qwen-0.8b_few-shot_pred,qwen-0.8b_few-shot_wrong,qwen-0.8b_cot_pred,qwen-0.8b_cot_wrong,qwen-0.8b_self-check_pred,qwen-0.8b_self-check_wrong,failure_count,failed_by
0,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
1,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
2,Clear Non-Reply,Clear Reply,True,Ambivalent,True,Clear Reply,True,Ambivalent,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
3,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
4,Clear Reply,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,3,"qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
5,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
6,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
7,Clear Reply,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,3,"qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
8,Ambivalent,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
9,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
10,Clear Non-Reply,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,1,qwen-0.8b_zero-shot
11,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
12,Clear Non-Reply,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,1,qwen-0.8b_zero-shot
13,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
14,Ambivalent,Clear Reply,True,Clear Non-Reply,True,Clear Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
15,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
16,Clear Reply,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,3,"qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
17,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
18,Clear Reply,Clear Reply,False,Ambivalent,True,Clear Reply,False,Clear Reply,False,1,qwen-0.8b_few-shot
19,Clear Non-Reply,Ambivalent,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,1,qwen-0.8b_zero-shot
20,Clear Non-Reply,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,1,qwen-0.8b_zero-shot
21,Clear Non-Reply,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,1,qwen-0.8b_zero-shot
22,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
23,Clear Reply,Ambivalent,True,Ambivalent,True,Clear Reply,False,Ambivalent,True,3,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_self-check"
24,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
25,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,3,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot"
26,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
27,Clear Reply,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,3,"qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
28,Clear Non-Reply,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,0,
29,Ambivalent,Clear Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
