Id,question,interview_answer,clarity_label,Predicted,question_words,answer_words,combined_words,correct
0,What is the reason for the President's new refusal to negotiate on the debt ceiling and does this suggest a potential default situation due to lack of communication?,"Well, no, Major, I think if you look at the history, getting votes for the debt ceiling is always difficult, and budgets in this town are always difficult. I went through this just last year. But what's different is we never saw a situation as we saw last year in which certain groups in Congress took such an absolutist position that we came within a few days of defaulting. And the fact of the matter is, is that we have never seen the debt ceiling used in this fashion, where the notion was, you know what, we might default unless we get 100 percent of what we want. That hasn't happened.Now, as I indicated before, I'm happy to have a conversation about how we reduce our deficits further in a sensible way. Although, one thing I want to point out is that the American people are also concerned about how we grow our economy, how we put people back to work, how we make sure that we finance our workers getting properly trained and our schools are giving our kids the education we deserve. There's a whole growth agenda which will reduce our deficits that's important as well.But what you've never seen is the notion that has been presented, so far at least, by the Republicans that deficit reductionwe'll only count spending cuts; that we will raise the deficitor the debt ceiling dollar for dollar on spending cuts. There are a whole set of rules that have been established that are impossible to meet without doing severe damage to the economy.And so what we're not going to do is put ourselves in a position where in order to pay for spending that we've already incurred, that our two options are we're either going to profoundly hurt the economy and hurt middle class families and hurt seniors and hurt kids who are trying to go to college, or alternatively, we're going to blow up the economy. We're not going to do that.",Ambivalent,Clear Reply,28,331,359,False
2, Have there been any preliminary discussions about meeting with President Rouhani?,"I'll meet with anybody. I believe in meeting. The Prime Minister said it better than anybody can say it: Speaking to other people, especially when you're talking about potentials of war and death and famine and lots of other things, you meet. There's nothing wrong with meeting. We met, as you know, with Chairman Kim. And it—you haven't had a missile fired off in 9 months. We got our prisoners back. So many things have happened so positive.But meeting with people—I had a great meeting, in my opinion. Of course, the fake news didn't cover it that way. But I had a great meeting with President Putin of Russia. I think it was a great meeting. In terms of the future, in terms of safety and economic development and protecting Israel and protecting everybody, I thought it was a great meeting.Great meeting with NATO. I just explained NATO. Hundreds of billions of dollars more money will be paid into NATO, the coffers of NATO. And much already has.So I believe in meeting. I would certainly meet with if they wanted to meet. I don't know that they're ready yet. They're having a hard time right now. But I ended the deal; it was a ridiculous deal. I do believe that they will probably end up wanting to meet, and I'm ready to meet any time they want to. And I don't do that from strength or from weakness. I think it's an appropriate thing to do. If we could work something out that's meaningful, not the waste of paper that the other deal was, I would certainly be willing to meet.",Ambivalent,Clear Reply,11,271,282,False
6,Request for clarity on the thinking about the Attorney General after the midterms.,"I'd rather answer that at a little bit different time. We're looking at a lot of different things, including Cabinet. I'm very happy with most of my Cabinet. We're looking at different people for different positions. You know, it's very common after the midterms. I didn't want to do anything before the midterms.But I will tell you that, for the most part, I'm extremely happy with my Cabinet. I think Mike Pompeo has fit in so beautifully. He's done an incredible job as——",Clear Non-Reply,Clear Reply,13,83,96,False
8,"Since we brought up the issue of football several times, I ask—I use the football language. Mr. Pompeo mentioned that, when we talk about the Syrian cooperation, the ball is in the Syrian court. Mr. Putin—in the Russian court—is it true?","Well, I guess I'll answer the first part of the question We've worked with Israel long and hard for many years, many decades I think we've never—never has anyone, any country been closer than we are President Putin also is helping Israel And we both spoke with Bibi Netanyahu, and they would like to do certain things with respect to Syria having to do with the safety of Israel So in that respect, we absolutely would like to work in order to help Israel, and Israel will be working with us So both countries would work jointlyAnd I think that, when you look at all of the progress that's been made in certain sections with the eradication of ISIS—we're about 98 percent, 99 percent there—and other things that have taken place that we've done, and that, frankly, Russia has helped us with in certain respects But I think that working with Israel is a great thing, and creating safety for Israel is something that both President Putin and I would like to see very muchOne little thing I might add to that is the helping of people—helping of people Because you have such horrible, if you see—and I've seen reports and I've seen pictures, I've seen just about everything And if we can do something to help the people of Syria get back into some form of shelter and—on a humanitarian basis And that's what the word was, really, a humanitarian basis I think that both of us would be very interested in doing that, and we are We will do thatThank you very muchRussia-US Military Coordination",Ambivalent,Clear Reply,41,267,308,False
9,"Why are you pitting Americans against one another, sir?","Excuse me. Peter. Peter, what, are you trying to be him?",Ambivalent,Clear Reply,9,11,20,False
11,Is the reception of the interviewee limited to the limits and challenges of their Asia pivot policy?,"Well, in terms of my reception here, as far as I can tell, it's been terrific. I don't know if you've gone and talked to some people in Laos. They seem pretty happy about my visit. Everywhere we've gone, we've had a great reception, just as earlier when we went to Vietnam we got a great reception. You'll recall, there were millions of people lining the streets.So if this theory about my reception and my rebalance policy is based on me going down the short stairs in China, yes, I think that is overblown. [] And I think that any reasonable person, certainly any person in the region, would be puzzled as to how this became somehow indicative of the work that we've done here.If you look at the remarks of leaders, if you look at the remarks of ordinary people, if you look at the concrete work that we've gotten done on everything from economic programs to development programs, to legacy of war issues, to promoting civil society and young people, the concern that I've heard is not that what we've done hasn't been important and successful. The concern that I've heard is, will it continue? And almost uniformly, the question I get from other leaders is, we hope that America's interest and presence and engagement is sustained.And my hope and expectation is, is that my successor will, in fact, sustain this kind of engagement, because there is a lot happening here. You've got countries here that are taking off. You've got one of the most dynamic and youngest populations in the world. This is where the action is going to be when it comes to commerce and trade and ultimately creating U.S. jobs by being able to sell to this market.And that's the only feedback that I've received. And that's not just based on what leaders tell me. If you read local newspapers or you talk to people, that's been the same commentary that we receive generally.With respect to Guantanamo, I am not ready to concede that it may still remain open, because we're still working diligently to continue to shrink the population. I continue to believe that Guantanamo is a recruitment tool for terrorist organizations, that it's—clouds and sours some of the counterterrorism cooperation that we need to engage in. And it's not necessary, and it's hugely expensive for U.S. taxpayers.Is there strong resistance in Congress? Absolutely. But as we continue to shrink the population to the point where we're looking at 40 or 50 people and are maintaining a multimillion-dollar operation to house these handfuls of individuals, I think the American people should be asking the question, why are we spending this kind of money that could be spent on other things when it's not necessary for our safety and security?So there's no doubt that because of the politics in Congress right now, it is a tough road to hoe. But I expect to work really hard over the next 4 months—5 months—4½ months. []Margaret Brennan [CBS News].",Ambivalent,Clear Reply,17,502,519,False
12, Can Asad potentially remain in power a year from now?,"I think that Asad is going to have to leave in order for the country to stop the bloodletting and for all the parties involved to be able to move forward in a nonsectarian way. Ihe has lost legitimacy in the eyes of a large majority of the country.Now, is there a way of us constructing a bridge creating a political transition that allows those who are allied with Asad right nowallows the Russians, allows the Iraniansto ensure that their equities are respected, that minorities like the Alawites are not crushed or retribution is not the order of the day? I think that's going to be very important as well.And that's what makes this so difficult. Sadly, had Asad made a decision earlier that he was not more important personally than his entire country, that kind of political transition would have been much easier. It's a lot harder now. But John Kerry has been doing some excellent work in moving that process forward. And I do think that you've seen from the Russians a recognition that, after a couple of months, they're not really moving the needle that much indespite a sizeable deployment inside of Syria. And of course, that's what I suggested would happen, because there's only so much bombing you can do when an entire country is outraged and believes that its ruler doesn't represent them.Cheryl Bolen [Bloomberg BNA].Federal Budget/Former Speaker of the House of Representatives John A. Boehner/Speaker of the House Paul D. Ryan/'s Legislative Agenda",Ambivalent,Clear Reply,10,249,259,False
14,What are the chances of achieving an agreement at Sochi on missile defense?,"On Sochi, I don't know, but the chances are—advancing my logic is good, since I'll be there talking about it. And we'll see whether or not there's an agreement. But obviously, we've got work to do to convince the President and people around him that the missile defense system is not aimed at Russia. In other words, it's viewed as an anti-Russian device. Well, it's not, and therefore, it requires a lot of time, a lot of discussion. That's what Condi Rice and Bob Gates spent time doing when they were there in Russia, and that is to defuse any notions that this is aiming something at somebody in Europe. This is all aiming to protect people in Europe.Yes, I mean, the truth of the matter is, the Russian system could overwhelm the missile defense systems we have envisioned. I mean, these systems are designed to deal with, you know, limited launch capabilities. And they've got multiple launch capabilities. And so it's just—it requires a lot of work. We're dealing with a lot of history and a lot of suspicion throughout governments. And so the President and I will try to work through these for our common good. And I'm hopeful we can have some breakthroughs. We'll see.The other thing is, is that this will be my last chance to visit with him face to face, as you know, and I've worked with him for 8 years. We've had a very interesting relationship. I like him. He's a person that has been a strong leader for Russia. And my view all along has been that it's in our interest—our interests, Ukrainian interests, European interests—to be able to have a working relationship with Russia. And I've had that. And this will be a chance to say, I appreciate being able to work together, and to be able to try to find some common interests in the waning days of his Presidency.",Clear Non-Reply,Clear Reply,13,320,333,False
15,Are you still going to sign the Executive order on birthright citizenship?,You will answer—you'll ask me that question a little bit later.Go ahead.,Ambivalent,Clear Reply,12,12,24,False
17,Why can't you say yes or no about the tapes and their destruction?,"It sounds pretty clear to me when I say I have—the first recollection is when Mike Hayden briefed me. That's pretty clear. Secondly, I am confident that the preliminary inquiry conducted by the AG and the IG of the CIA, coupled with the oversight provided by the Congress, will end up enabling us all to find out what exactly happened. And therefore, over the course of these inquiries and oversight hearings, I'm going to reserve judgment until I find out the full facts.I know I'm going to be asked about this question a lot as time goes on. I'm just going to prepare you—until these inquiries are complete, until the oversights are finished, then I will be rendering no opinion from the podium.",Ambivalent,Clear Reply,13,123,136,False
