Id,question,interview_answer,clarity_label,Predicted,question_words,answer_words,combined_words,correct
0,Request for clarity on the thinking about the Attorney General after the midterms.,"I'd rather answer that at a little bit different time. We're looking at a lot of different things, including Cabinet. I'm very happy with most of my Cabinet. We're looking at different people for different positions. You know, it's very common after the midterms. I didn't want to do anything before the midterms.But I will tell you that, for the most part, I'm extremely happy with my Cabinet. I think Mike Pompeo has fit in so beautifully. He's done an incredible job as——",Clear Non-Reply,Ambivalent,13,83,96,False
1,Are there certain aspects that they've put forward that you don't support?,"Yes, there are actually, and we'll be talking about it. There are, you know, also things that I very much support, but we'll be negotiating. It's sort of semi-irrelevant because the Democrats come with their needs and asks, and the Republicans go with theirs. So we'll be discussing it with Mitch and all of the other people involved. Kevin has been very active, as you know—all of the people involved. Steve Mnuchin has done a great job, keeps everybody together, both Democrat and Republican.And we'll see. We want to do what's best for the people. I want to do what's best for the people. I want to do what's best for the economy, because that means jobs and lots of good things. All right?",Clear Reply,Ambivalent,12,124,136,False
2, Is Prime Minister Netanyahu willing to make the compromises that are needed for Israel to resolve its issues with the Palestinians?,"Well, I just think he's been a great Prime Minister. And I don't know about his difficulty, but you're telling me something that, you know, the—people have been hearing about. But I don't know about that.I can say this: that he's done a great job as Prime Minister. He's tough, he's smart, he's strong. He is very defensive. His military has been built up a lot. They buy a lot of equipment from the United States, and they pay for it. Of course, we give them tremendous, as you know, subsidy, also. Four billion dollars is a lot each year. But they are—they've been very good. They've been incredible, actually, in many ways. But there is a chance for peace between Israel and the Palestinians.And you know, it's interesting, all of my life, I've heard that the toughest of all deals—when they talk about tough deals; we all like deals—but the toughest of all deals would be peace between Israel and Palestinians. They say it's like the impossible deal. I'd love to be able to produce it. We'll see what happens.You know, we were paying the Palestinians a lot of money. And I ended that about 2 years ago, because they weren't saying the right things. And I said, why would we pay somebody that's not saying nice things about us and not really wanting to go to the peace table? And they've been much better. And we'll see what happens.",Clear Non-Reply,Ambivalent,21,241,262,False
3,"How would Singapore address a U.S. leader who adopts a stance that is more closed off, more antiglobalization, for example, if we see that in November?","S., especially coming on the heels of the latest announcement of the medical team to the global coalition against ISIS. With the rising threat of terror in Asia and indeed the rest of the world, the potential for military confrontation in the South China Sea, how do you see Singapore featuring in U.S. plans to address this going forward?And last question, Four more years is a phrase that I think you've been hearing a little bit in the past few weeks and months. And while that's not possible—[]—if it were, how would you continue developing relationships with Singapore? What would be your key focus going forward, maybe the next 50 years as well? Thank you. Well, 50 years is a very long time. [] Fifty years ago, nobody imagined what the world would be like today or what Singapore would be like today, and that we would have such a deep and broad relationship and so many things to do together.We would like to build on this for the next 50 years. It depends on how we—each of our countries does: in Singapore, whether we are able to remain stable, prosperous, open, successful; in America, whether you remain one of the dynamic, vibrant, leading economies in the world, in a world in which there are other powers, other centers of creativity and technology and science and progress, but yet it's a unique participant with a history of contributing to the world not just for your own interests, but because you believe that the world should be a better place for all countries.And if America can do that, and if Singapore can maintain our success, then I think there are many opportunities for us to make common cause together. And then, the rebalancing, which the President has enunciated and executed, will sustain and endure for many years to come. It will be a very different world. The countries will grow; other countries will slow down. Demographics will have a big factor to come. I mean, if we look at Japan, their population has been shrinking, and they will have to do something, somehow, to turn it around. Otherwise, 50 more years of population shrinking and you have a very small country left in terms of economy, in terms of influence internationally.Singapore, too, has demographic issues. America has a demographic change—the population is not shrinking, but the composition is changing. And in this situation, we have to adjust to a new world, maintaining our position and our ability to compete and yet knowing that it's not going to be the same as it was in 1946, when America was about half the world's GDP. So—or one-quarter of the world's GDP.So that's the crucial factor over the next 50 years. As for what we do over bipartisan links, if there's a U.S. leader who is more closed off and wants to turn inward, I don't think this is the right forum or indeed there is any right forum for me to talk about U.S. politics in public at this moment. We will work with whoever is the U.S. administration, whichever party. We've worked with five Republican and four Democratic administrations. And our experience of American elections, Presidential elections, has been that many pressures build up during the election campaign. And after the elections, in a calmer, cooler atmosphere, positions are rethought, strategies are nuanced, and a certain balance is kept in the direction of the ship of state. It doesn't turn completely upside down.The Americans take pride in having a system with checks of—with checks and balances so that it is not so easy to do things, but it is not so easy to completely mess things up. [] No. And we admire that, and sometimes, we depend upon that. [] The—he's absolutely right. [] The wisdom of our Founders.With respect to military cooperation, obviously, Singapore is a small country, but as I've said before, it punches above its weight. Because so much of our work in the Asia-Pacific region is not a matter of active conflict, but rather creating an architecture, a framework of rules and norms that keeps the peace and that has underwritten security for the region and for us for many years now. And Singapore is so often the adult in the room, the level head, that can help us work with a wide range of countries around certain issues, help defuse tensions. In many ways, the diplomatic work and collaboration that we do with Singapore is as critical, if not more critical, than the work militarily.But what is also true is the nature of threats today, when you think of cyber threats or our concern about enforcing sanctions against North Korea to ensure nonproliferation of nuclear materials or being able to countermessage ISIL in a place like Southeast Asia and ensure information sharing with countries where there may be a budding terrorist threat, those are all issues of military finesse and intelligence and precision, and that—those are areas where Singapore excels.So in addition to being a very important logistical hub and center for our operations, the partnership that we're able to maintain helps us to work with a whole range of other countries much more effectively than we would if Singapore weren't there and we were having to just try to gather up all these countries individually. And that's where ASEAN and the East Asia Summit, I think, has also been very important, because it is institutionalizing many of these practices in ways that, hopefully, avoids conflict in the first place, which would be in everybody's interest.With the—as far as where the relationship goes, I think the Prime Minister is absolutely right: Fifty years from now, it's very hard to anticipate where we're going, but there are certain trends that I think are inevitable. The Asia-Pacific region will continue to grow and will continue to account for a larger share of the world's economy. There are going to be countries in the Southeast Asian region that look to follow the path of Singapore into a mature, advanced economy. It is going to be a big market. And the United States is still going to have a massive interest in maintaining itself as a Asia-Pacific power and in maintaining strong bonds of trade and commerce and scientific exchange and educational exchange.And given the close strategic interests, but maybe even more importantly, the close people-to-people ties between America and Singapore, I think we can anticipate that that will be just as strong 50 years from now as it is today.The—Singapore has to take into account not just American interests. China is a big neighbor, and there are strong commercial ties and cultural ties there as well. And in that sense, Singapore actually can serve as a useful partner with us and with China to assure that the U.S.-Sino relationship moves in a productive way, which I think would be in the interests of both countries.So this is going to be a central engine for world growth. And if we do a good job in maintaining stability, ensuring a rules-based order, continuing to promote greater transparency and reducing corruption in the region so that all people are benefiting from the rapid growth that is taking place, then I think the future 50 years from now will be bright.Jordan Fabian [The Hill].",Clear Reply,Clear Non-Reply,26,1220,1246,False
4,Follow-up question request,"[] The third one, yes. Go ahead.",Clear Reply,Clear Non-Reply,3,7,10,False
6,"Encouraging Federal properties, including the White House complex, to follow the order.",We're going to make a decision over the next 24 hours. We'll let you know what that decision is. Okay?,Clear Non-Reply,Clear Reply,12,20,32,False
8,Comparison between self-quarantine for Americans returning from Europe and the President's encounter with someone who now has coronavirus from Brazil.,"Well, I'll tell you, first of all, I'm not coming back from someplace.",Ambivalent,Clear Non-Reply,20,13,33,False
10,"If the leak wasn't authorized, do you suspect someone in your administration is trying to undermine your Iraq policy or sabotage your meeting with Prime Minister al-Maliki a few weeks back?","I'm trying to think back if I ordered an investigation. I don't recall ordering an investigation. I do recall expressing some angst about ongoing leaks. You all work hard to find information and, of course, put it out for public consumption, and I understand that. But I don't appreciate those who leak classified documents. And it's an ongoing problem here, it really is, not just for this administration, but it will be for any administration that is trying to put policy in place that affects the future of the country.And we've had a lot of leaks, Mark, as you know, some of them out of the—I don't know where they're from, and therefore, I'm not going to speculate. It turns out, you never can find the leaker. It's an advantage you have in doing your job. We can moan about it, but it's hard to find those inside the Government that are willing to give, in this case, Hadley's document to newspapers.You know, there may be an ongoing investigation of this; I just don't know. If there is, if I knew about it, it's not fresh in my mind. But I do think that at some point in time, it would be helpful if we can find somebody inside our Government who is leaking materials, clearly against the law, that they be held to account. Perhaps the best way to make sure people don't leak classified documents is that there be a consequence for doing so.Jim [Jim Gerstenzang, Los Angeles Times].",Clear Non-Reply,Ambivalent,31,251,282,False
13,The President's consideration of firing someone (specifically him),"I consider firing everybody. [] At some point, that's what happens.Jennifer [Jennifer Jacobs, Bloomberg News], do you have something, Jennifer? You're working so hard.",Ambivalent,Clear Reply,8,24,32,False
17,Would you be willing to meet with him without condition?,"Well, again, John, there has been no collusion between the Trump campaign and Russians, or Trump and Russians. No collusion. When I watch you interviewing all the people leaving their committees—I mean, the Democrats are all running for office, and they're trying to say this, that. But bottom line, they all say there's no collusion. And there is no collusion.And when you talk about interviews, Hillary Clinton had an interview where she wasn't sworn in, she wasn't given the oath, they didn't take notes, they didn't record, and it was done on the Fourth of July weekend. That's perhaps ridiculous, and a lot of people looked upon that as being a very serious breach. And it really was.But again, I'll speak to attorneys. I can only say this: There was absolutely no collusion. Everybody knows it. Every committee—I've been in office now for 11 months. For 11 months, they've had this phony cloud over this administration, over our Government. And it has hurt our Government. It does hurt our Government.It's a Democrat hoax that was brought up as an excuse for losing an election that, frankly, the Democrats should have won because they have such a tremendous advantage in the electoral college. So it was brought up for that reason. But it has been determined that there is no collusion and by virtually everybody. So we'll see what happens.",Ambivalent,Clear Non-Reply,10,229,239,False
18,President's comment on Secretary Esper's remarks.,"Yes, I know. Whatever he—if he—if that's what he heard, I think that—I've heard it both ways too. I've heard accident; I've heard, you know, explosives. And obviously, it must have been some form of explosives. But whether it was a bomb intentionally set off—it ended up being a bomb. But no, I've heard it both ways. It could have been an accident, and it could have also been something that was very offensive. And I wouldn't be very happy with that.",Clear Reply,Ambivalent,6,82,88,False
20,What is your reaction to that report?,"I did say it should be a goal of the Nation to shut down Guantanamo. I also made it clear that part of the delay was the reluctance of some nations to take back some of the people being held there. In other words, in order to make it work, we've got to have a place for these people to go. I don't know if you noticed a resolution of the Senate the other day, where all but three Senators said we don't want these prisoners in the country. I don't know if it was a 97-3 vote, but it was something-to-3 vote. In other words, part of the issue, Peter, is the practical issue of what do we do with the people?And you say nothing has taken place. I strongly disagree with that. First of all, we are working with other nations to send folks back. Again, it's a fairly steep order. A lot of people don't want killers in their midst, and a lot of these people are killers. Secondly, of course, we want to make sure that when we do send them back, they're treated as humanely as possible.The other issue was whether or not we can get people to be tried. One of the things I'm anxious about, want to see happen, is that there to be trials. Courts have been involved with deciding how to do this, and Defense is trying to work out mechanisms to get the trials up and running. And the sooner we can get that up and running, the better it is, as far as I'm concerned. I don't want to make any predictions about whether Guantanamo will be available or not. I'm just telling you it's a very complicated subject.And I laid out an aspiration. Whether or not we can achieve that or not, we'll try to. But it is not as easy a subject as some may think on the surface. Again, I refer to you to the Senate vote. When asked whether or not you want to shut down Guantanamo and, therefore, receive some of those prisoners in your home State, there didn't seem to be a lot of support for it. Like, three people said, It's okay by me, in the Senate.Your other question, sir?",Clear Non-Reply,Clear Reply,7,378,385,False
22, Would you accept a political settlement with him involved as success from the American perspective?,I would accept him stepping down so that he is not directing armed forces against the n people. He needs to step down. He needs to go.Laura Meckler [Wall Street Journal]./Tax Reform/National Economy,Ambivalent,Clear Reply,15,33,48,False
23,How can the alliance remain unchanged given that Australia has signaled new foreign policy with quite different positions from yours on climate change?,"I guess it depends if you're a half-glass-empty guy or a halfglass-full guy. It sounds like to me our foreign policy interests are aligned. You know, after all, we've committed to an international agreement that will be effective when it comes to greenhouse gases. The Prime Minister just defined his desire to help this young democracy in Iraq succeed. That's what we're for.So I don't see differences when it comes to foreign policy. As a matter of fact, I see common agreement. And one reason why is, is because we share the same values. And those values are more important than the people who actually occupy the office, by the way. Those are the values that allow 12 U.S. Presidents and 14 Australian Prime Ministers to be united in common goals. And so I disagree with the assessment of whatever expert laid that out.Steven Lee [Steven Lee Myers, New York Times].",Clear Reply,Ambivalent,23,151,174,False
