course,semester,teacher,is_hard,has_lab,day_and_slot
Σχεδίαση VLSI Κυκλωµάτων,7,ΝΙΚΑΣ,False,False,0
Αρχιτεκτονική Υπολογιστών ΙΙ,5,ΓΚΙΖΟΠΟΥΛΟΣ,True,False,1
Διακριτά Μαθηµατικά,1,ΑΧΛΙΟΠΤΑΣ,False,False,2
Πιθανότητες και στοιχεία Στατιστικής,3,ΚΑΡΑΛΙΟΠΟΥΛΟΥ,False,False,5
Λειτουργικά Συστήµατα,5,ΧΑΤΖΗΕΥΘΥΜΙΑΔΗΣ,False,False,6
Προηγμένοι Επιστημονικοί Υπολογισμοί,7,ΤΖΑΦΕΡΗΣ,False,False,7
Ανάπτυξη Λογισµικού για Αλγοριθμικά Προβλήματα,7,ΕΜΙΡΗΣ,False,False,10
Δίκτυα Επικοινωνιών ΙΙ,5,ΜΠΑΛΑΟΥΡΑΣ,False,False,11
Δοµή και Θεσµοί της Ευρωπαϊκής Ένωσης,7,ΤΟΛΙΔΗΣ,False,False,12
Ψηφιακή Επεξεργασία Σήµατος,5,ΑΛΕΞΑΝΔΡΟΠΟΥΛΟΣ,False,False,13
Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος: Ενισχυτική μηχανική μάθηση και στοχαστικά παίγνια,7,ΚΑΛΟΥΠΤΣΙΔΗΣ,False,False,16
Αριθµητική Ανάλυση,5,ΤΖΑΦΕΡΗΣ,True,False,17
Εργαστήριο Κυκλωμάτων και Συστημάτων,3,ΠΙΝΟ,False,False,19
Αλγόριθμοι Βιοπληροφορικής,7,ΕΜΙΡΗΣ,False,False,23
Αρχές Γλωσσών Προγραµµατισµού,5,ΡΟΝΤΟΓΙΑΝΝΗΣ,False,False,24
Ειδικά Θέματα Θεωρητικής Πληροφορικής: Αλγόριθμοι Δομικής Βιοπληροφορικής,7,ΑΧΛΙΟΠΤΑΣ,False,False,25
Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,1,ΤΣΑΛΓΑΤΙΔΟΥ,False,False,26
Γραµµική Άλγεβρα,1,ΓΙΑΝΝΟΠΟΥΛΟΥ,True,False,27
ΤΠΕ στη Μάθηση (Πληροφορική κ Εκπαίδευση),7,ΓΟΓΟΥΛΟΥ,False,False,28
Γραφικά Ι ,5,ΘΕΟΧΑΡΗΣ,False,False,30
Προηγµένα Θέµατα Αλγορίθµων,7,ΦΟΥΡΤΟΥΝΕΛΗ,False,False,31
Τεχνητή Νοηµοσύνη,5,ΚΟΥΜΠΑΡΑΚΗΣ,False,True,33
Σήµατα και Συστήµατα,3,ΠΑΝΑΓΑΚΗΣ,True,False,35
Αντικειµενοστραφής Προγραµµατισµός,3,ΚΑΡΑΛΗ,False,True,36
Ανάπτυξη Λογισµικού για Πληροφοριακά Συστήματα,7,ΙΩΑΝΝΙΔΗΣ,False,False,38
Τεχνητή Νοημοσύνη ΙΙ,7,ΚΟΥΜΠΑΡΑΚΗΣ,True,True,40
Σχεδίαση Ψηφιακών Συστηµάτων - VHDL,5,ΠΑΣΧΑΛΗΣ,False,False,42
Υπολογιστική Πολυπλοκότητα,7,ΓΙΑΝΝΟΠΟΥΛΟΥ,False,False,44
Υλοποίηση Συστημάτων Βάσεων Δεδομένων,5,ΙΩΑΝΝΙΔΗΣ,True,True,45
Εισαγωγή στον Προγραµµατισµό,1,ΣΤΑΜΑΤΟΠΟΥΛΟΣ,False,True,48
Συστήματα Πληροφορικής και e-Προσβασιμότητα για μαθητές με αναπηρία ,7,ΠΙΝΟ,False,False,50
Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών ,7,ΜΠΑΛΑΟΥΡΑΣ,False,False,51
Εφαρμοσμένα Μαθηματικά,5,ΓΑΤΖΟΥΡΑ,False,False,53
Λογική Σχεδίαση,1,ΠΑΣΧΑΛΗΣ,False,False,54
Επικοινωνία Ανθρώπου Μηχανής,7,ΡΟΥΣΣΟΥ,False,False,55
Τηλεπικοινωνιακά Δίκτυα,5,ΒΑΡΟΥΤΑΣ,False,False,57
Ανάλυση ΙΙ,3,ΓΑΤΖΟΥΡΑ,True,False,59
Αλγοριθµική Επιχειρησιακή Έρευνα,7,ΖΗΣΙΜΟΠΟΥΛΟΣ,False,False,60
