,true,qwen-0.8b_zero-shot_pred,qwen-0.8b_zero-shot_wrong,qwen-0.8b_few-shot_pred,qwen-0.8b_few-shot_wrong,qwen-0.8b_cot_pred,qwen-0.8b_cot_wrong,qwen-0.8b_self-check_pred,qwen-0.8b_self-check_wrong,qwen-2b_zero-shot_pred,qwen-2b_zero-shot_wrong,qwen-2b_few-shot_pred,qwen-2b_few-shot_wrong,qwen-2b_cot_pred,qwen-2b_cot_wrong,qwen-2b_self-check_pred,qwen-2b_self-check_wrong,qwen-4b_zero-shot_pred,qwen-4b_zero-shot_wrong,qwen-4b_few-shot_pred,qwen-4b_few-shot_wrong,qwen-4b_cot_pred,qwen-4b_cot_wrong,qwen-4b_self-check_pred,qwen-4b_self-check_wrong,failure_count,failed_by
0,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,True,Ambivalent,True,Ambivalent,True,Ambivalent,True,12,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
1,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Ambivalent,True,Ambivalent,True,Ambivalent,True,Ambivalent,True,4,"qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
2,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,True,Clear Reply,True,Ambivalent,True,Ambivalent,True,Ambivalent,True,Ambivalent,True,12,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
3,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,4,"qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
4,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,5,"qwen-0.8b_cot, qwen-0.8b_self-check, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
5,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,False,Ambivalent,False,Clear Non-Reply,True,Clear Reply,True,10,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_cot, qwen-4b_self-check"
6,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Reply,True,Clear Reply,True,Ambivalent,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,10,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
7,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
8,Ambivalent,Clear Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,12,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
9,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
10,Clear Non-Reply,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,True,Ambivalent,True,Clear Non-Reply,False,Clear Non-Reply,False,6,"qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot"
11,Ambivalent,Clear Reply,True,Ambivalent,False,Clear Reply,True,Ambivalent,False,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,False,Ambivalent,False,Clear Reply,True,Ambivalent,False,7,"qwen-0.8b_zero-shot, qwen-0.8b_cot, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_cot"
12,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,7,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot"
13,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,12,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
14,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,False,Ambivalent,False,Ambivalent,False,Ambivalent,False,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
15,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,False,Ambivalent,False,Clear Non-Reply,True,Clear Non-Reply,True,10,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_cot, qwen-4b_self-check"
16,Clear Reply,Clear Reply,False,Clear Non-Reply,True,Clear Reply,False,Clear Non-Reply,True,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Ambivalent,True,Clear Reply,False,Clear Reply,False,Clear Reply,False,3,"qwen-0.8b_few-shot, qwen-0.8b_self-check, qwen-4b_zero-shot"
17,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,False,Clear Non-Reply,True,Clear Non-Reply,True,Ambivalent,False,10,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_few-shot, qwen-4b_cot"
18,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Ambivalent,True,Ambivalent,True,Ambivalent,True,Ambivalent,True,4,"qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
19,Clear Non-Reply,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Ambivalent,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,2,"qwen-0.8b_zero-shot, qwen-0.8b_self-check"
20,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Ambivalent,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,12,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check, qwen-4b_zero-shot, qwen-4b_few-shot, qwen-4b_cot, qwen-4b_self-check"
21,Clear Non-Reply,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,3,"qwen-0.8b_zero-shot, qwen-2b_cot, qwen-2b_self-check"
