A1        A2        A3        A4        A5         arc queue
09 10 11  09 10 11  09 10 11  09 10 11  09 10 11   44 42 43 24 21 34 31 35 12 13 53
09 10 11  09 10 11  09 10 11  09    11  09 10 11      42 43 24 21 34 31 35 12 13 53 24 34
09 10 11  09 10 11  09 10 11        11  09 10 11         43 24 21 34 31 35 12 13 53 24 34 24 34
09 10 11  09 10     09 10 11        11  09 10 11            24 21 34 31 35 12 13 53 24 34 24 34 12 42
09 10 11  09 10     09 10 11        11  09 10 11               21 34 31 35 12 13 53 24 34 24 34 12 42
09 10 11  09 10     09 10           11  09 10 11                  34 31 35 12 13 53 24 34 24 34 12 42 13 43 53
09 10 11  09 10     09 10           11  09 10 11                     31 35 12 13 53 24 34 24 34 12 42 13 43 53
09 10 11  09 10        10           11  09 10 11                        35 12 13 53 24 34 24 34 12 42 13 43 53 13 43 53
09 10 11  09 10        10           11  09 10 11                           12 13 53 24 34 24 34 12 42 13 43 53 13 43 53
      11  09 10        10           11  09 10 11                              13 53 24 34 24 34 12 42 13 43 53 13 43 53 21 31
      11  09 10        10           11  09                                       53 24 34 24 34 12 42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                          24 34 24 34 12 42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                             34 24 34 12 42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                24 34 12 42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                   34 12 42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                      12 42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                         42 13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                            13 43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                               43 53 13 43 53 21 31 35
      11  09 10        10           11  09                                                                  53 13 43 53 21 31 35
      11  09 10        10           11  09                                                                     13 43 53 21 31 35
      11  09 10        10           11  09                                                                        43 53 21 31 35
      11  09 10        10           11  09                                                                           53 21 31 35
      11  09 10        10           11  09                                                                              21 31 35
      11  09 10        10           11  09                                                                                 31 35
      11  09 10        10           11  09                                                                                    35
      11  09 10        10           11  09
