,true,qwen-0.8b_zero-shot_pred,qwen-0.8b_zero-shot_wrong,qwen-0.8b_few-shot_pred,qwen-0.8b_few-shot_wrong,qwen-0.8b_cot_pred,qwen-0.8b_cot_wrong,qwen-0.8b_self-check_pred,qwen-0.8b_self-check_wrong,qwen-2b_zero-shot_pred,qwen-2b_zero-shot_wrong,qwen-2b_few-shot_pred,qwen-2b_few-shot_wrong,qwen-2b_cot_pred,qwen-2b_cot_wrong,qwen-2b_self-check_pred,qwen-2b_self-check_wrong,failure_count,failed_by
0,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
1,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
2,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,4,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check"
3,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
4,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Non-Reply,True,Clear Reply,False,Clear Non-Reply,True,2,"qwen-2b_few-shot, qwen-2b_self-check"
5,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
6,Clear Non-Reply,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,False,Clear Non-Reply,False,Clear Non-Reply,False,Clear Reply,True,5,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_self-check"
7,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
8,Ambivalent,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,Clear Non-Reply,True,8,"qwen-0.8b_zero-shot, qwen-0.8b_few-shot, qwen-0.8b_cot, qwen-0.8b_self-check, qwen-2b_zero-shot, qwen-2b_few-shot, qwen-2b_cot, qwen-2b_self-check"
9,Clear Reply,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,Clear Reply,False,0,
