run_id,model_key,strategy,group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.08080808080808081,0.2222222222222222,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(16.667, 76.0]",question_words_bin,10,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,0.22857142857142856,0.4,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.12121212121212122,0.3333333333333333,0.17777777777777778,0.19393939393939394,0.36363636363636365,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(5.999, 65.667]",answer_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(65.667, 305.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(75.0, 321.667]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(9.999, 75.0]",combined_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.08080808080808081,0.2222222222222222,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(16.667, 76.0]",question_words_bin,10,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,0.22857142857142856,0.4,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.12121212121212122,0.3333333333333333,0.17777777777777778,0.19393939393939394,0.36363636363636365,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(5.999, 65.667]",answer_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(65.667, 305.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(75.0, 321.667]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(9.999, 75.0]",combined_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.08080808080808081,0.2222222222222222,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(16.667, 76.0]",question_words_bin,10,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,0.22857142857142856,0.4,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.12121212121212122,0.3333333333333333,0.17777777777777778,0.19393939393939394,0.36363636363636365,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(5.999, 65.667]",answer_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(65.667, 305.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(75.0, 321.667]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_cot,qwen-0.8b,cot,"(9.999, 75.0]",combined_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.07407407407407407,0.3333333333333333,0.12121212121212122,0.08080808080808081,0.2222222222222222,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(16.667, 76.0]",question_words_bin,10,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,0.22857142857142856,0.4,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.12121212121212122,0.3333333333333333,0.17777777777777778,0.19393939393939394,0.36363636363636365,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(5.999, 65.667]",answer_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(65.667, 305.0]",answer_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(75.0, 321.667]",combined_words_bin,10,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615385,0.13846153846153847,0.3,0.0
qwen-0.8b_self-check,qwen-0.8b,self-check,"(9.999, 75.0]",combined_words_bin,10,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.2,0.0
qwen-2b_zero-shot,qwen-2b,zero-shot,"(10.0, 16.667]",question_words_bin,9,0.5555555555555556,0.4444444444444444,0.5333333333333333,0.4166666666666667,0.5277777777777778,0.5555555555555556,0.0
qwen-2b_zero-shot,qwen-2b,zero-shot,"(16.667, 76.0]",question_words_bin,10,0.5,0.3333333333333333,0.5,0.38888888888888884,0.36666666666666664,0.5,0.0
qwen-2b_zero-shot,qwen-2b,zero-shot,"(2.999, 10.0]",question_words_bin,11,0.45454545454545453,0.4666666666666666,0.4444444444444444,0.35714285714285715,0.34415584415584416,0.45454545454545453,0.0
qwen-2b_zero-shot,qwen-2b,zero-shot,"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-2b_zero-shot,qwen-2b,zero-shot,"(5.999, 65.667]",answer_words_bin,10,0.6,0.4000000000000001,0.6,0.45714285714285713,0.5142857142857142,0.6,0.0
