,question,interview_answer,clarity_label,Predicted,question_words,answer_words,combined_words,correct
0,Request for clarity on the thinking about the Attorney General after the midterms.,"I'd rather answer that at a little bit different time. We're looking at a lot of different things, including Cabinet. I'm very happy with most of my Cabinet. We're looking at different people for different positions. You know, it's very common after the midterms. I didn't want to do anything before the midterms.But I will tell you that, for the most part, I'm extremely happy with my Cabinet. I think Mike Pompeo has fit in so beautifully. He's done an incredible job as——",Clear Non-Reply,Ambivalent,13,83,96,False
1,Are there certain aspects that they've put forward that you don't support?,"Yes, there are actually, and we'll be talking about it. There are, you know, also things that I very much support, but we'll be negotiating. It's sort of semi-irrelevant because the Democrats come with their needs and asks, and the Republicans go with theirs. So we'll be discussing it with Mitch and all of the other people involved. Kevin has been very active, as you know—all of the people involved. Steve Mnuchin has done a great job, keeps everybody together, both Democrat and Republican.And we'll see. We want to do what's best for the people. I want to do what's best for the people. I want to do what's best for the economy, because that means jobs and lots of good things. All right?",Clear Reply,Ambivalent,12,124,136,False
2, Is Prime Minister Netanyahu willing to make the compromises that are needed for Israel to resolve its issues with the Palestinians?,"Well, I just think he's been a great Prime Minister. And I don't know about his difficulty, but you're telling me something that, you know, the—people have been hearing about. But I don't know about that.I can say this: that he's done a great job as Prime Minister. He's tough, he's smart, he's strong. He is very defensive. His military has been built up a lot. They buy a lot of equipment from the United States, and they pay for it. Of course, we give them tremendous, as you know, subsidy, also. Four billion dollars is a lot each year. But they are—they've been very good. They've been incredible, actually, in many ways. But there is a chance for peace between Israel and the Palestinians.And you know, it's interesting, all of my life, I've heard that the toughest of all deals—when they talk about tough deals; we all like deals—but the toughest of all deals would be peace between Israel and Palestinians. They say it's like the impossible deal. I'd love to be able to produce it. We'll see what happens.You know, we were paying the Palestinians a lot of money. And I ended that about 2 years ago, because they weren't saying the right things. And I said, why would we pay somebody that's not saying nice things about us and not really wanting to go to the peace table? And they've been much better. And we'll see what happens.",Clear Non-Reply,Ambivalent,21,241,262,False
3,"How would Singapore address a U.S. leader who adopts a stance that is more closed off, more antiglobalization, for example, if we see that in November?","S., especially coming on the heels of the latest announcement of the medical team to the global coalition against ISIS. With the rising threat of terror in Asia and indeed the rest of the world, the potential for military confrontation in the South China Sea, how do you see Singapore featuring in U.S. plans to address this going forward?And last question, Four more years is a phrase that I think you've been hearing a little bit in the past few weeks and months. And while that's not possible—[]—if it were, how would you continue developing relationships with Singapore? What would be your key focus going forward, maybe the next 50 years as well? Thank you. Well, 50 years is a very long time. [] Fifty years ago, nobody imagined what the world would be like today or what Singapore would be like today, and that we would have such a deep and broad relationship and so many things to do together.We would like to build on this for the next 50 years. It depends on how we—each of our countries does: in Singapore, whether we are able to remain stable, prosperous, open, successful; in America, whether you remain one of the dynamic, vibrant, leading economies in the world, in a world in which there are other powers, other centers of creativity and technology and science and progress, but yet it's a unique participant with a history of contributing to the world not just for your own interests, but because you believe that the world should be a better place for all countries.And if America can do that, and if Singapore can maintain our success, then I think there are many opportunities for us to make common cause together. And then, the rebalancing, which the President has enunciated and executed, will sustain and endure for many years to come. It will be a very different world. The countries will grow; other countries will slow down. Demographics will have a big factor to come. I mean, if we look at Japan, their population has been shrinking, and they will have to do something, somehow, to turn it around. Otherwise, 50 more years of population shrinking and you have a very small country left in terms of economy, in terms of influence internationally.Singapore, too, has demographic issues. America has a demographic change—the population is not shrinking, but the composition is changing. And in this situation, we have to adjust to a new world, maintaining our position and our ability to compete and yet knowing that it's not going to be the same as it was in 1946, when America was about half the world's GDP. So—or one-quarter of the world's GDP.So that's the crucial factor over the next 50 years. As for what we do over bipartisan links, if there's a U.S. leader who is more closed off and wants to turn inward, I don't think this is the right forum or indeed there is any right forum for me to talk about U.S. politics in public at this moment. We will work with whoever is the U.S. administration, whichever party. We've worked with five Republican and four Democratic administrations. And our experience of American elections, Presidential elections, has been that many pressures build up during the election campaign. And after the elections, in a calmer, cooler atmosphere, positions are rethought, strategies are nuanced, and a certain balance is kept in the direction of the ship of state. It doesn't turn completely upside down.The Americans take pride in having a system with checks of—with checks and balances so that it is not so easy to do things, but it is not so easy to completely mess things up. [] No. And we admire that, and sometimes, we depend upon that. [] The—he's absolutely right. [] The wisdom of our Founders.With respect to military cooperation, obviously, Singapore is a small country, but as I've said before, it punches above its weight. Because so much of our work in the Asia-Pacific region is not a matter of active conflict, but rather creating an architecture, a framework of rules and norms that keeps the peace and that has underwritten security for the region and for us for many years now. And Singapore is so often the adult in the room, the level head, that can help us work with a wide range of countries around certain issues, help defuse tensions. In many ways, the diplomatic work and collaboration that we do with Singapore is as critical, if not more critical, than the work militarily.But what is also true is the nature of threats today, when you think of cyber threats or our concern about enforcing sanctions against North Korea to ensure nonproliferation of nuclear materials or being able to countermessage ISIL in a place like Southeast Asia and ensure information sharing with countries where there may be a budding terrorist threat, those are all issues of military finesse and intelligence and precision, and that—those are areas where Singapore excels.So in addition to being a very important logistical hub and center for our operations, the partnership that we're able to maintain helps us to work with a whole range of other countries much more effectively than we would if Singapore weren't there and we were having to just try to gather up all these countries individually. And that's where ASEAN and the East Asia Summit, I think, has also been very important, because it is institutionalizing many of these practices in ways that, hopefully, avoids conflict in the first place, which would be in everybody's interest.With the—as far as where the relationship goes, I think the Prime Minister is absolutely right: Fifty years from now, it's very hard to anticipate where we're going, but there are certain trends that I think are inevitable. The Asia-Pacific region will continue to grow and will continue to account for a larger share of the world's economy. There are going to be countries in the Southeast Asian region that look to follow the path of Singapore into a mature, advanced economy. It is going to be a big market. And the United States is still going to have a massive interest in maintaining itself as a Asia-Pacific power and in maintaining strong bonds of trade and commerce and scientific exchange and educational exchange.And given the close strategic interests, but maybe even more importantly, the close people-to-people ties between America and Singapore, I think we can anticipate that that will be just as strong 50 years from now as it is today.The—Singapore has to take into account not just American interests. China is a big neighbor, and there are strong commercial ties and cultural ties there as well. And in that sense, Singapore actually can serve as a useful partner with us and with China to assure that the U.S.-Sino relationship moves in a productive way, which I think would be in the interests of both countries.So this is going to be a central engine for world growth. And if we do a good job in maintaining stability, ensuring a rules-based order, continuing to promote greater transparency and reducing corruption in the region so that all people are benefiting from the rapid growth that is taking place, then I think the future 50 years from now will be bright.Jordan Fabian [The Hill].",Clear Reply,Ambivalent,26,1220,1246,False
6,"Encouraging Federal properties, including the White House complex, to follow the order.",We're going to make a decision over the next 24 hours. We'll let you know what that decision is. Okay?,Clear Non-Reply,Ambivalent,12,20,32,False
7, Isn't consumer spending or overspending how we got into this mess?,"Well, first of all, I don't think it's accurate to say that consumer spending got us into this mess. What got us into this mess initially were banks taking exorbitant, wild risks with other people's monies based on shaky assets. And because of the enormous leverage where they had $1 worth of assets and they were betting $30 on that $1, what we had was a crisis in the financial system. That led to a contraction of credit, which in turn meant businesses couldn't make payroll or make inventories, which meant that everybody became uncertain about the future of the economy, so people started making decisions accordingly, reducing investment, initiated layoffs, which in turn made things worse.Now, you are making a legitimate point, Chuck, about the fact that our savings rate has declined and this economy has been driven by consumer spending for a very long time, and that's not going to be sustainable. You know, if all we're doing is spending, and we're not making things, then over time other countries are going to get tired of lending us money and eventually the party is going to be over. Well, in fact, the party now is over.And so the sequence of how we're approaching this is as follows: Our immediate job is to stop the downward spiral, and that means putting money into consumers' pockets, it means loosening up credit, it means putting forward investments that not only employ people immediately but also lay the groundwork for long-term economic growth. And that, by the way, is important even if you're a fiscal conservative, because the biggest problem we're going to have with our Federal budget is if we continue a situation in which there are no tax revenues because economic growth is plummeting at the same time as we've got more demands for unemployment insurance, we've got more demands for people who've lost their health care, more demand for food stamps. That will put enormous strains on the Federal budget as well as the State budget.So the most important thing we can do for our budget crisis right now is to make sure that the economy doesn't continue to tank. And that's why passing the economic recovery plan is the right thing to do, even though I recognize that it's expensive. Look, I would love not to have to spend money right now. I'd--this notion that somehow I came in here just ginned up to spend $800 billion, that wasn't how I envisioned my Presidency beginning, but we have to adapt to existing circumstances.Now, what we are going to also have to do is to make sure that as soon as the economy stabilizes, investment begins again; we're no longer contracting but we're growing; that our mid-term and long-term budget is dealt with. And I think the same is true for individual consumers. Right now they're just trying to figure out, how do I make sure that if I lose my job, I'm still going to be able to make my mortgage payments. Or they're worried about how am I going to pay next month's bills. So they're not engaging in a lot of long-term financial planning.Once the economy stabilizes and people are less fearful, then I do think that we're going to have to start thinking about how do we operate more prudently, because there's no such thing as a free lunch. So if you want to get--if you want to buy a house, then putting zero down and buying a house that is probably not affordable for you in case something goes wrong, that's something that has to be reconsidered.So we're going to have to change our bad habits. But right now, the key is making sure that we pull ourselves out of the economic slump that we're in.All right. Julianna Goldman, Bloomberg.",Clear Reply,Ambivalent,11,636,647,False
10,"If the leak wasn't authorized, do you suspect someone in your administration is trying to undermine your Iraq policy or sabotage your meeting with Prime Minister al-Maliki a few weeks back?","I'm trying to think back if I ordered an investigation. I don't recall ordering an investigation. I do recall expressing some angst about ongoing leaks. You all work hard to find information and, of course, put it out for public consumption, and I understand that. But I don't appreciate those who leak classified documents. And it's an ongoing problem here, it really is, not just for this administration, but it will be for any administration that is trying to put policy in place that affects the future of the country.And we've had a lot of leaks, Mark, as you know, some of them out of the—I don't know where they're from, and therefore, I'm not going to speculate. It turns out, you never can find the leaker. It's an advantage you have in doing your job. We can moan about it, but it's hard to find those inside the Government that are willing to give, in this case, Hadley's document to newspapers.You know, there may be an ongoing investigation of this; I just don't know. If there is, if I knew about it, it's not fresh in my mind. But I do think that at some point in time, it would be helpful if we can find somebody inside our Government who is leaking materials, clearly against the law, that they be held to account. Perhaps the best way to make sure people don't leak classified documents is that there be a consequence for doing so.Jim [Jim Gerstenzang, Los Angeles Times].",Clear Non-Reply,Ambivalent,31,251,282,False
12,Will you place any restriction on who gives money and how much they can give?,"No, yes, no, yes. [] Next question. [] I haven't— phew, man. You obviously haven't asked a question in a long time. It was like, you know, one, I haven't seen the final budget. Two, as Donnie Evans said, who is the chairman of the foundation, we'll look at the disclosure requirements and make a decision. Here's the—well, I—there's a lot of people—or some people; I shouldn't say a lot—some people who like to give and don't particularly want their names disclosed, whether it be for this foundation or any other foundation. And so we'll take that into consideration.Thirdly—and what was the other?",Clear Non-Reply,Ambivalent,15,103,118,False
13,The President's consideration of firing someone (specifically him),"I consider firing everybody. [] At some point, that's what happens.Jennifer [Jennifer Jacobs, Bloomberg News], do you have something, Jennifer? You're working so hard.",Ambivalent,Clear Reply,8,24,32,False
14,"What commitments did Felipe Calderon take on in order to be a counterweight to these initiatives of Hugo Chavez, on the one hand? And on the other hand, President Felipe Calderon, Foreign Minister Patricia has said that you are working in order to strengthen the relationship with Venezuela. How is this compatible with the commitments that you're taking on with President Bush in order to give thrust to this counterweight in Latin America concerning Hugo Chavez?","Thank you for the question. We spent a lot of time talking about Mexico's role in the world. Mexico is a respected nation; President Calderon is a respected leader. But our conversations focused on democracy and rule of law and prosperity and how to improve the lives of our fellow citizens. We spent time talking about social justice and concern for the poor.One of the reasons I've come down here again is to remind people in this important part of the world that the United States cares deeply about the human condition; that we spent 1.6 billion of bilateral aid last year, most of the money going to social justice programs. And that doesn't include programs like the one I saw in the highlands of Guatemala, where our military was providing basic health care for citizens.So, Mr. President and I spent time talking about how to advance a hopeful agenda, one that will lift the spirits of people. And I respect the role Mexico plays. I mean, Mexico will lead diplomatic efforts for the common security and common prosperity, and that's an important role. The commitment and purpose of my Government is to have constructive, positive, and sound relations with all countries of the world and, of course, with the countries of Latin America, without exception. And certainly the more—the most important relationship with Mexico abroad is the one that we have with the United States, due to the migration that exists, the flows through the borders, and all else that you are well aware of.However, Mexico is respectful of the opinions of other leaders. We are respectful of the heads of states of other countries, such as Venezuela and certainly the United States. We are a government that has principles and values, values such as democracy, freedom, liberty, and legality and certainly security and safety.On the other hand, not as a strategy— this was not something that we focused on as a strategy in our talks, but as a conviction of our government. Mexico has to play a role which is balanced, weighed, and it has to be a leader in Latin America, in agreement with its culture, its history, its economy, its people.We are deeply Latin American, and we, too, want justice, development, democracy for all of Latin America. That is where we are engaged, and we are committed. We certainly do agree and coincide with other countries, many countries, of course, who coincide and agree with those principles.",Ambivalent,Clear Reply,76,411,487,False
