Id,question,interview_answer,clarity_label,Predicted,question_words,answer_words,combined_words,correct
1," Don't your officials vote by mail, sir?","They do, but that's different. That's called solicited. When you solicit, when you go out—it's called absentee or solicit. When you go out and you request a ballot—you want to say, I want to vote because I can't be in Florida or I can't be someplace. You request. So you're sending something in, it's handled professionally, they send it back—it's a whole thing. That's much different than unsolicited, when you get millions of ballots. I heard numbers like 80 million ballots.Now, just this week, they had another one—another one of the disasters that took place—an election. But look at what happened in New Jersey. And they had another one in New Jersey—very, very bad—different than Paterson. Look at what happened in New York with Carolyn—your Congressman—Murphy.",Clear Reply,Clear Non-Reply,7,126,133,False
2,"The statement does not include a payroll tax cut. So, is the relief package perfectly tailored?","Yes, I'd like to see a payroll tax cut. I think it's great for the workers. The Democrats would never have gone for it. They don't want it. They're not big into the workers, I guess. And based on that, I told them last night—I told the Republicans, who have been working very hard on this, I'll tell you—and they want what's right for the country—and hopefully, the Democrats ultimately will.But I said, I think a payroll tax will be good, but you're not going to get it from the Democrats. We need their votes, as you know. It's not like—you know, we have a majority, but it's not enough that we—that's why I guess we have an election coming up. So you still need Democrat votes, and we're not going to get the Democrat votes on that.So I'd like to see it. I think it would be very good for the workers. But if we're not going to get their votes, I guess we have to go on to the next thing. A payroll tax cut would have been very good. And maybe something happens.Yes, please.",Ambivalent,Clear Non-Reply,16,187,203,False
3,Would the invitation be at the White House or at Mar-a-Lago if he were invited?,Maybe we'll start with the White House. What do you think? [],Clear Reply,Clear Non-Reply,15,12,27,False
5," On Iran, I would like to ask you, Mr. President, there is—seems to be an emerging debate in Israel about a military option against the nuclear installations in Iran. How do you see that debate?","First of all, if you were living in Israel, you'd be a little nervous too if a leader in your neighborhood announced that they—he'd like to destroy you. And one sure way of achieving that means is through the development of a nuclear weapon. Therefore, now is the time for all of us to work together to stop them. There's a lot of urgencies when it comes to dealing with , and the Israeli political folks—and if you go to Israel and listen carefully, you'll hear that urgency in their voice—one of many urgencies. And I'm hopeful we can get it done.And by the way—I don't want to preclude the Prime Minister's answer—I think we can actually get an agreement on global climate change during my Presidency, just so you know. I believe in a global agreement for a joint fight against climate change. This is, as a matter of fact, the only solution. An agreement or a self-commitment of the most developed or industrial countries to reduce greenhouse gas emissions is not enough, especially because some developing countries are developing really fast. China will, in a few years, become the first in terms of the greenhouse gas emissions. And a global agreement without the developing countries would be a short-term solution.So, as a matter of fact, we really need that everybody who is a key stakeholder sits at the table. And I have mentioned already in my introduction, those who are most developed should take the leading role. And therefore, this alliance, these agreements, these discussions on bringing closer the standpoints is of such significance.As President Bush has mentioned, the commitment of the most developed economies—which is mandatory to reduce emissions by a certain deadline—this is a key commitment: how individual economies this reach is less important. However, the goals must be set, and we must have mandatory goals, and this is of key importance. And in this way, we will reduce the threat of climate change.And of course, we should also attract to this task the other countries. Without the leading role of the European Union and the United States of America and without close cooperation, it is not possible to reach a global agreement in short term. Therefore, this discussion is of extreme importance. And the G-8 summit in Japan in next month should represent an important step forward if we wish, in time, before the U.N. conference in Copenhagen, reach this agreement. There is not much time left. The time is running out. All right, we'll take the last one from John McKinnon of the Wall Street Journal. It's called technology. []",Ambivalent,Clear Reply,35,436,471,False
6,Did he brief you on his plans?,"And if you ask him, he will tell you, and he'll tell you very nicely: You have the money, it's sitting there, it's ready to go. The Democrats don't want to approve it, but I want money for other things too. I want money to go to people so they can live very nicely, because China caused the problem; they didn't.Go ahead.",Ambivalent,Clear Non-Reply,7,62,69,False
7,What does it mean for the prospect of future relations between Britain and America when the leader of the opposition dare not set foot in Washington?,"Well, I can just tell you, my relationship with the leader of Great Britain has been unbelievably productive, and I have enjoyed working with Tony Blair more than I could have possibly imagined.It's hard to define our relationship in sound bites or press conferences, or to— in a way that really reflects the depth of what we have done together. And so I— you know, I don't regret things about what may or may not have happened over the past 5 years. I honor a relationship that I truly believe has been laying the foundation for peace.This may not interest you, but I'll tell you anyway. I read three histories on George Washington last year. It's interesting to me that they're still analyzing the Presidency of our first President. And my attitude is, if they're still analyzing 1, 43 doesn't need to worry about it. [] I'm not going to be around to see the final history written on my administration.When you work on big items, items to— agendas based upon sound philosophy that will transform parts of the world to make it more peaceful, we're not going to be around to see it. So my—let me finish. My relationship with this good man is where I've been focused, and that's where my concentration is. And I don't regret any other aspect of it.And so I—we filled a lot of space together. We have had a unique ability to speak in terms that help design common strategies and tactics to achieve big objectives. And it's—will I miss working with Tony Blair? You bet I will. Absolutely. Can I work with the next guy? Of course.And I'm here to make it clear to the people of our respective countries that this relationship is one that is vital to accomplish big objectives. It has been vital in the past; it has stood the free world—it has enabled the free world to do hard things. And it's a relationship that I believe is necessary to do the hard things in the 21st century. And so I honor Tony Blair.",Ambivalent,Clear Reply,26,346,372,False
8," Does the lack of clear procedures for handling captured terrorists increase the risk of American forces being more inclined to kill them in the field rather than capturing them alive, which would deprive the U.S. of potential intelligence?","Well, first of all, my top priority in each and every one of these situations is to make sure that we're apprehending those who would attack the United States; that we are getting all the intelligence that we can out of these individuals, in a way that's consistent with due process of law; and that we try them, we prosecute them, in a way that's consistent with rule of law.And frankly, there are going to be different dispositions of the case depending on the situation. And there are going to be some times where a military commission may be appropriate. There are going to be some times where Article III courts are appropriate in terms of prosecution. And we do have a process to work through all the agencies--Department of Defense, Department of Justice, FBI, anybody else who might be involved in these kinds of operations--to think through on a case-by-case basis how a particular individual should be dealt with.And I think that when it comes to our men and women in uniform who might be carrying out these missions, the instructions are not going to be based on whether or not the lawyers can sort out how we detain them or how we prosecute them. Their mission is to make sure that they apprehend the individual; they do so safely with minimum risk to American lives. And that's always going to be the priority, is just carrying out the mission. And that message is sent consistently to our men and women in uniform anytime they start carrying out one of these missions.But I think it's important to understand, and the American people need to be assured, that any time we initiate a mission like this, our top priorities are making sure this person is not able to carry out attacks against the United States and that we're able to obtain actionable intelligence from those individuals. And so that mitigates against this danger that you're suggesting that our main goal is going to be to kill these individuals as opposed to potentially capturing them. Okay?Mike Emanuel, FOX.",Ambivalent,Clear Reply,38,347,385,False
9, Are you worried about how your administration is running based on the e-mails indicating concerns at the Office of Management and Budget and the Attorney General's lack of knowledge about Fast and Furious?,"Well, first on the issue of prosecutions on Wall Street, one of the biggest problems about the collapse of Lehmans and the subsequent financial crisis and the whole subprime lending fiasco is that a lot of that stuff wasn't necessarily illegal, it was just immoral or inappropriate or reckless. That's exactly why we needed to pass Dodd-Frank, to prohibit some of these practices.The financial sector is very creative, and they are always looking for ways to make money. That's their job. And if there are loopholes and rules that can be bent and arbitrage to be had, they will take advantage of it. So without commenting on particular prosecutions--obviously, that's not my job, that's the Attorney General's job--I think part of people's frustrations, part of my frustration, was a lot of practices that should not have been allowed weren't necessarily against the law, but they had a huge destructive impact. And that's why it was important for us to put in place financial rules that protect the American people from reckless decisionmaking and irresponsible behavior.Now, with respect to Solyndra and Fast and Furious, I think I've been very clear that I have complete confidence in Attorney General Holder in how he handles his office. He has been very aggressive in going after gun running and cash transactions that are going to these transnational drug cartels in Mexico. There has been a lot of cooperation between the United States and Mexico on this front. He's indicated that he was not aware of what was happening in Fast and Furious. Certainly, I was not. And I think both he and I would have been very unhappy if somebody had suggested that guns were allowed to pass through that could have been prevented by the United States of America.He has assigned an Inspector General to look into how exactly this happened, and I have complete confidence in him and I've got complete confidence in the process to figure out who, in fact, was responsible for that decision and how it got made.Solyndra, this is a loan guarantee program that predates me that historically has had support from Democrats and Republicans as well. And the idea is pretty straightforward: If we are going to be able to compete in the 21st century, then we've got to dominate cutting-edge technologies, we've got to dominate cutting-edge manufacturing. Clean energy is part of that package of technologies of the future that have to be based here in the United States if we're going to be able to succeed.Now, the loan guarantee program is designed to meet a particular need in the marketplace, which is, a lot of these small startups, they can get angel investors, they can get several million dollars to get a company going, but it's very hard for them to then scale up, particularly if these are new cutting-edge technologies. It's hard for them to find private investors. And part of what's happening is China and Europe, other countries, are putting enormous subsidies into these companies and giving them incentives to move offshore. Even if the technology was developed in the United States, they end up going to China because the Chinese Government will say, we're going to help you get started. We'll help you scale up. We'll give you low-interest loans or no-interest loans. We will give siting. We will do whatever it takes for you to get started here.And that's part of the reason why a lot of technologies that developed here, we've now lost the lead in: solar energy, wind energy. And so what the loan guarantee program was designed to do was to close that gap and say, let's see if we can help some of those folks locate here and create jobs here in the United States.Now, we knew from the start that the loan guarantee program was going to entail some risk, by definition. If it was a risk-free proposition, then we wouldn't have to worry about it. But the overall portfolio has been successful. It has allowed us to help companies, for example, start advanced battery manufacturing here in the United States. It's helped to create jobs. There were going to be some companies that did not work out; Solyndra was one of them. But the process by which the decision was made was on the merits. It was straightforward. And of course, there were going to be debates internally when you're dealing with something as complicated as this.But I have confidence that the decisions were made based on what would be good for the American economy and the American people and putting people back to work.And by the way, let me make one last point about this. I heard there was a Republican Member of Congress who's engaging in oversight on this, and despite the fact that all of them in the past have been supportive of this loan guarantee program, he concluded, you know what, we can't compete against China when it comes to solar energy. Well, you know what, I don't buy that. I'm not going to surrender to other countries' technological leads that could end up determining whether or not we're building a strong middle class in this country. And so we're going to have to keep on pushing hard to make sure that manufacturing is located here, new businesses are located here, and new technologies are developed here. And there are going to be times where it doesn't work out, but I'm not going to cave to the competition when they are heavily subsidizing all these industries.",Ambivalent,Clear Reply,33,925,958,False
10, Do you back President Karzai when he says he may send his troops into Pakistan to take care of some of the militants who are launching attacks on his territory?,"Our strategy is to deny safe haven to extremists who would do harm to innocent people. And that's the strategy of Afghanistan. It needs to be the strategy of Pakistan. It's in all our interests to prevent those who murder innocent people to achieve political objectives to gain safe haven.And so we'd look forward to working— I mean, one thing that can happen is, there can be, you know, more dialogue between the Pak Government and the Afghan Government. Now, there was—in the past, they had a jirga amongst tribal leaders in the region on both—from both sides of the border that made a difference. And I think that would be a good idea to restart the jirga process.I know there needs to be dialogue between the intel services between the respective countries. And I know there needs to be better cooperation, and there needs to be trilateral cooperation on the border— trilateral being Pak, Afghan, and coalition border patrols—to prevent people from coming back and forth across the border.And there's a lot of common ground. I repeat: It is in no one's interest that extremists have a safe haven from which to operate. And I'm, you know—I mean—and obviously, it's a testy situation there. And if I'm the President of a country and people are coming from one country to another—allegedly coming from one country to another—to kill innocent civilians on my side, I'd be concerned about it. But we can help. We can help calm the situation down and develop a strategy that will prevent these extremists from, you know, from developing safe haven and having freedom of movement. Can I say, I'm traveling to Jeddah next Sunday at the invitation of the King of Saudi Arabia. And I want a long-term dialogue, and this is part of a process, not an event, between oil producers and oil consumers. I think there is a view developing that the price of oil is increasingly dependent not just on today's demand and supply factors but on what people perceive as demand outstripping supply next year, in the medium term, and in the long term.And I want to tell the King of Saudi Arabia and others who are there that the world will build more nuclear power. And I have suggested that on present trends, it would be about 1,000 nuclear power stations over the next 30 years. The world will increase its use of renewables. The world will increase its use of coal. It will lessen its dependence on oil, and that the world is determined to make a more efficient use of oil.And I think this dialogue between producers and consumers is absolutely essential. President Bush has just been in Saudi Arabia. I have not been there recently. I want to go and talk to the King and talk to others there about what I believe should be a process whereby we understand what are the pressures on demand in future years, as well as we understand the pressures on supply. And I believe that that long-term debate about the future can have an effect on today's markets.Now, that's what the debate is about. And that is part of a process that I hope will continue, if necessary, with a meeting in London later and with further meetings, so that there is a genuine dialogue between producers and consumers about what is the most worrying situation in the world at the moment, and that is the trebling of the price of oil.",Ambivalent,Clear Reply,30,583,613,False
11, Do you support the decision of more than five dozen Democrats to boycott the Inauguration of the incoming President?,"Well, I won't go into details of my conversations with President-elect Trump. As I've said before, they are cordial. At times, they've been fairly lengthy, and they've been substantive. I can't tell you how convincing I've been. I think you'd have to ask him whether I've been convincing or not.I have offered my best advice, counsel about certain issues both foreign and domestic. And my working assumption is, is that having won an election opposed to a number of my initiatives and certain aspects of my vision for where the country needs to go, it is appropriate for him to go forward with his vision and his values. And I don't expect that there's going to be enormous overlap.It may be that on certain issues, once he comes into office and he looks at the complexities of how to, in fact, provide health care for everybody—something he says he wants to do—or wants to make sure that he is encouraging job creation and wage growth in this country, that that may lead him to some of the same conclusions that I arrived at once I got here.But I don't think we'll know until he has an actual chance to get sworn in and sit behind that desk. And I think a lot of his views are going to be shaped by his advisers, the people around him, which is why it's important to pay attention to these confirmation hearings.I can tell you that—and this is something I have told him—that this is a job of such magnitude that you can't do it by yourself. You are enormously reliant on a team: your Cabinet, your senior White House staff, all the way to fairly junior folks in their twenties and thirties, but who are executing on significant responsibilities.And so how you put a team together to make sure that they're getting you the best information and they are teeing up the options from which you will ultimately make decisions, that's probably the most useful advice, the most constructive advice that I've been able to give him. That if you find yourself isolated because the process breaks down, or if you're only hearing from people who agree with you on everything, or if you haven't created a process that is fact-checking and probing and asking hard questions about policies or promises that you've made, that's when you start making mistakes. And as I indicated in some of my previous remarks, reality has a way of biting back if you're not paying attention to it.With respect to the Inauguration, I'm not going to comment on those issues. All I know is I'm going to be there. [] So is Michelle. And I have been checking the weather, and I'm heartened by the fact that it won't be as cold as my first Inauguration—[]—because that was cold.Janet Rodriguez [Univision].'s Post-Presidency Plans/Immigration/Cuba-U.S. Relations",Ambivalent,Clear Non-Reply,19,478,497,False
