course,semester,teacher,is_hard,has_lab,day_and_slot
Τεχνητή Νοηµοσύνη,5,ΚΟΥΜΠΑΡΑΚΗΣ,False,True,0
Εργαστήριο Κυκλωμάτων και Συστημάτων,3,ΠΙΝΟ,False,False,2
Υλοποίηση Συστημάτων Βάσεων Δεδομένων,5,ΙΩΑΝΝΙΔΗΣ,True,True,3
Πιθανότητες και στοιχεία Στατιστικής,3,ΚΑΡΑΛΙΟΠΟΥΛΟΥ,False,False,5
Αντικειµενοστραφής Προγραµµατισµός,3,ΚΑΡΑΛΗ,False,True,6
Εφαρμοσμένα Μαθηματικά,5,ΓΑΤΖΟΥΡΑ,False,False,8
Τεχνητή Νοημοσύνη ΙΙ,7,ΚΟΥΜΠΑΡΑΚΗΣ,True,True,9
Γραφικά Ι ,5,ΘΕΟΧΑΡΗΣ,False,False,11
Εισαγωγή στον Προγραµµατισµό,1,ΣΤΑΜΑΤΟΠΟΥΛΟΣ,False,True,12
Δίκτυα Επικοινωνιών ΙΙ,5,ΜΠΑΛΑΟΥΡΑΣ,False,False,14
Γραµµική Άλγεβρα,1,ΓΙΑΝΝΟΠΟΥΛΟΥ,True,False,15
Σχεδίαση Ψηφιακών Συστηµάτων - VHDL,5,ΠΑΣΧΑΛΗΣ,False,False,16
Προηγμένοι Επιστημονικοί Υπολογισμοί,7,ΤΖΑΦΕΡΗΣ,False,False,17
Λειτουργικά Συστήµατα,5,ΧΑΤΖΗΕΥΘΥΜΙΑΔΗΣ,False,False,18
Συστήματα Πληροφορικής και e-Προσβασιμότητα για μαθητές με αναπηρία ,7,ΠΙΝΟ,False,False,19
Διακριτά Μαθηµατικά,1,ΑΧΛΙΟΠΤΑΣ,False,False,20
Σήµατα και Συστήµατα,3,ΠΑΝΑΓΑΚΗΣ,True,False,21
Ψηφιακή Επεξεργασία Σήµατος,5,ΑΛΕΞΑΝΔΡΟΠΟΥΛΟΣ,False,False,22
Επικοινωνία Ανθρώπου Μηχανής,7,ΡΟΥΣΣΟΥ,False,False,23
Τηλεπικοινωνιακά Δίκτυα,5,ΒΑΡΟΥΤΑΣ,False,False,24
Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών ,7,ΜΠΑΛΑΟΥΡΑΣ,False,False,25
Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,1,ΤΣΑΛΓΑΤΙΔΟΥ,False,False,26
Αρχιτεκτονική Υπολογιστών ΙΙ,5,ΓΚΙΖΟΠΟΥΛΟΣ,True,False,27
Προηγµένα Θέµατα Αλγορίθµων,7,ΦΟΥΡΤΟΥΝΕΛΗ,False,False,28
Λογική Σχεδίαση,1,ΠΑΣΧΑΛΗΣ,False,False,29
Αρχές Γλωσσών Προγραµµατισµού,5,ΡΟΝΤΟΓΙΑΝΝΗΣ,False,False,30
Αλγόριθμοι Βιοπληροφορικής,7,ΕΜΙΡΗΣ,False,False,31
Ανάλυση ΙΙ,3,ΓΑΤΖΟΥΡΑ,True,False,33
Ανάπτυξη Λογισµικού για Πληροφοριακά Συστήματα,7,ΙΩΑΝΝΙΔΗΣ,False,False,34
Αλγοριθµική Επιχειρησιακή Έρευνα,7,ΖΗΣΙΜΟΠΟΥΛΟΣ,False,False,36
Αριθµητική Ανάλυση,5,ΤΖΑΦΕΡΗΣ,True,False,39
Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος: Ενισχυτική μηχανική μάθηση και στοχαστικά παίγνια,7,ΚΑΛΟΥΠΤΣΙΔΗΣ,False,False,40
Δοµή και Θεσµοί της Ευρωπαϊκής Ένωσης,7,ΤΟΛΙΔΗΣ,False,False,42
Ειδικά Θέματα Θεωρητικής Πληροφορικής: Αλγόριθμοι Δομικής Βιοπληροφορικής,7,ΑΧΛΙΟΠΤΑΣ,False,False,45
ΤΠΕ στη Μάθηση (Πληροφορική κ Εκπαίδευση),7,ΓΟΓΟΥΛΟΥ,False,False,48
Σχεδίαση VLSI Κυκλωµάτων,7,ΝΙΚΑΣ,False,False,51
Υπολογιστική Πολυπλοκότητα,7,ΓΙΑΝΝΟΠΟΥΛΟΥ,False,False,54
Ανάπτυξη Λογισµικού για Αλγοριθμικά Προβλήματα,7,ΕΜΙΡΗΣ,False,False,57
